episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
323,-0.125818,0.681521,26.9925,-0.000337,0,0.4783,0.29047
324,-0.137701,0.670518,49.7274,-0.000531,0,0.4800,0.29044
325,-0.131137,0.672559,62.2262,-0.000527,0,0.2903,0.29041
326,-0.131807,0.705862,19.0462,-0.000296,0,0.6500,0.29038
327,-0.118321,0.640707,41.7771,-0.000538,1,0.4091,0.29035
328,-0.113274,0.661497,75.5916,-0.000652,1,0.3939,0.29032
329,-0.129900,0.687180,68.8151,-0.000555,0,0.6842,0.29029
330,-0.151410,0.665833,74.2485,-0.000796,1,0.3200,0.29026
331,-0.127800,0.672663,79.9260,-0.000579,0,0.5278,0.29024
332,-0.141338,0.685454,113.6012,-0.000756,0,0.3488,0.29021
333,-0.111464,0.643700,78.0582,-0.000717,0,0.4118,0.29018
334,-0.129364,0.671703,52.0020,-0.000414,0,0.5000,0.29015
335,-0.130207,0.688994,38.6527,-0.000433,0,0.5385,0.29012
336,-0.133391,0.676710,61.6452,-0.000429,0,0.5366,0.29009
337,-0.116714,0.644874,51.0783,-0.000431,0,0.4333,0.29006
338,-0.134143,0.686854,68.9703,-0.000624,1,0.4839,0.29003
339,-0.130721,0.664663,32.4844,-0.000221,1,0.8500,0.29000
340,-0.129497,0.665877,62.5946,-0.000475,1,0.5000,0.28997
341,-0.135868,0.653305,32.0277,-0.000510,1,0.4375,0.28994
342,-0.130517,0.653639,23.0452,-0.000364,0,0.6667,0.28991
343,-0.141703,0.679453,68.6155,-0.000625,1,0.3333,0.28988
344,-0.118878,0.651823,86.8478,-0.000608,0,0.4444,0.28985
345,-0.114305,0.676297,37.9743,-0.000448,0,0.4286,0.28982
346,-0.136669,0.668413,57.6209,-0.000868,0,0.2632,0.28979
347,-0.145692,0.686230,39.7583,-0.000543,0,0.4762,0.28976
348,-0.125372,0.662043,56.9732,-0.000519,0,0.3529,0.28973
349,-0.131793,0.697430,38.7657,-0.000603,1,0.4286,0.28970
350,-0.108486,0.641835,44.3769,-0.000370,0,0.5484,0.28968
351,-0.152511,0.724775,34.9892,-0.000617,0,0.5333,0.28965
352,-0.119955,0.659959,40.8573,-0.000368,0,0.4483,0.28962
353,-0.127203,0.672580,49.7158,-0.000486,0,0.4444,0.28959
354,-0.127296,0.659377,70.9852,-0.000628,0,0.3667,0.28956
355,-0.143174,0.696194,83.0635,-0.000703,0,0.3158,0.28953
356,-0.140660,0.680584,49.8447,-0.000769,0,0.2632,0.28950
357,-0.139396,0.692192,39.8703,-0.000452,0,0.5000,0.28947
358,-0.154153,0.705477,57.9396,-0.000522,0,0.6207,0.28944
359,-0.118416,0.650589,94.2957,-0.000784,1,0.1892,0.28941
360,-0.129224,0.654185,36.9676,-0.000537,1,0.4762,0.28938
361,-0.117855,0.641558,87.7391,-0.000888,0,0.3636,0.28935
362,-0.132332,0.686609,70.6073,-0.000464,0,0.3250,0.28932
363,-0.135382,0.686221,57.0455,-0.000553,0,0.2963,0.28929
364,-0.129901,0.668717,95.3609,-0.000795,0,0.1429,0.28926
365,-0.131814,0.694962,74.4622,-0.000891,0,0.2609,0.28923
366,-0.115159,0.646384,73.1296,-0.000869,0,0.5600,0.28920
367,-0.126108,0.666693,83.3488,-0.000687,0,0.3548,0.28917
368,-0.121298,0.678496,52.9584,-0.000432,0,0.5143,0.28914
369,-0.112418,0.639277,62.9384,-0.000637,0,0.4333,0.28911
370,-0.136280,0.687160,54.4043,-0.000400,0,0.5897,0.28908
371,-0.107739,0.661142,98.2570,-0.000530,0,0.4815,0.28906
372,-0.139015,0.673481,92.1227,-0.000571,0,0.4651,0.28903
373,-0.113944,0.667455,94.2729,-0.000716,0,0.3784,0.28900
374,-0.138746,0.666522,74.8648,-0.000827,0,0.4643,0.28897
375,-0.141381,0.683041,42.3735,-0.000753,1,0.3529,0.28894
376,-0.131448,0.679554,34.5556,-0.000323,0,0.5000,0.28891
